# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
317,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,교육 수료생에 대한 정보를 이용하여 회원 탈퇴 후에도 교육과정을 홍보한 것에 대한 손해배상 등 요구,,"손해배상, 재발방지 조치","피신청인은 공공기록물법에 따라 신청인의 개인정보를 보존할 수 있으나 그 이용 범위는 보존 목적에 한정되므로, 피신청인이 신청인의 회원 탈퇴와 메일발송 중단 요청에도 불구하고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=878&VA=content,https://datalaw.kr/mediation/#m-878
318,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,문의내역을 보관하고 있는 온라인 서비스업체에 대한 관련 개인정보 삭제 요구,,기각,정보통신망법 및 전자상거래법 등에 따라 소비자의 불만 또는 분쟁처리에 관한 기록은 3년간 보존되어야 하므로 이에 대한 삭제요구는 인정되지 아니함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=871&VA=content,https://datalaw.kr/mediation/#m-871
319,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,교원소청심사위원회에 소청심사와 무관한 자의 개인정보를 제공한 학교법인에 대한 손해배상 등 요구,,"손해배상, 재발방지 조치",신청인들에 대한 사회적 평가에 영향을 미칠 수 있는 민감한 정보인 진상조사 기록을 동의 없이 제3자 제공한 것에 대하여 손해배상금을 지급,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=870&VA=content,https://datalaw.kr/mediation/#m-870
320,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,자문기관을 구체적으로 알리지 아니하고 의료자문을 실시한 보험사에 대한 손해배상 등 요구,,개선 조치 등,"피신청인은 외부 의료자문과 관련하여 「개인정보 보호법」 제26조의 절차를 준수하여야 하고, 개인정보 처리 열람 요구가 개인정보처리자가 정하지 않은 방법으로 접수되었을 경우에도 그 방법과 절차를 지체 없이 안내할 수 있도록 직원 교육을 실시하여야 함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=869&VA=content,https://datalaw.kr/mediation/#m-869
321,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,"보험증권, 보험금 지급 내역과 관련 진료기록 등을 소송의 증거자료로 법원에 제출한 것에 대한 손해배상 요구",,기각,피신청인이 신청인의 개인정보를 민사소송의 증거자료로 제출한 것은 헌법이 보장하고 있는 재판받을 권리에 따라 제출한 것으로 위법하지 않음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=865&VA=content,https://datalaw.kr/mediation/#m-865
322,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,"보험증권, 보험금 지급 내역과 관련 진료기록 등을 소송의 증거자료로 법원에 제출한 것에 대한 손해배상 요구",,기각,피신청인이 신청인의 개인정보를 민사소송의 증거자료로 제출한 것은 헌법이 보장하고 있는 재판받을 권리에 따라 제출한 것으로 위법하지 않음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=864&VA=content,https://datalaw.kr/mediation/#m-864
323,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,도로 위 CCTV에 촬영된 개인영상정보 제공 요구,,기각,피신청인이 보호법과“영상정보처리기기 운영·관리 방침”에 따라 보관기간 경과로 파기하여 보유하고 있지 아니한 CCTV의 개인영상정보 제공을 요구하는 신청인의 주장은 인정할 수 없음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=863&VA=content,https://datalaw.kr/mediation/#m-863
324,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 소송의 증거자료로 이용한 것에 대한 손해배상 등 요구,,기각,피신청인이 신청인의 개인정보를 민사소송의 증거자료로 제출한 것은 헌법이 보장하고 있는 재판받을 권리에 따라 제출한 것으로 위법하지 않음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=862&VA=content,https://datalaw.kr/mediation/#m-862
325,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 소송의 증거자료로 이용한 것에 대한 손해배상 등 요구,,기각,피신청인이 소송 당사자로서 증거를 제출한 것은 공정한 민사재판권의 실현과 소송에서의 진실이라는 공익에 기여하며 부당한 보험금 지급책임을 면함으로써 보험료를 낮추어 보험가입자들의 공동이익 달성에 기여하는 반면…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=861&VA=content,https://datalaw.kr/mediation/#m-861
326,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,민원내역 삭제 요구,,기각,「개인정보 보호법」 제21조는 개인정보처리자는 개인정보가 불필요하게 되었을 때에는 지체 없이 그 개인정보를 파기하도록 하고 있으나 다른 법령에 따라 보존하여야 하는 경우에는 그러하지 아니하다고 규정하고 있음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=860&VA=content,https://datalaw.kr/mediation/#m-860
327,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,문의내역과 구매내역 삭제 요구,,기각,정보통신망법 제29조는 정보통신서비스 제공자 등은 동의를 받은 개인정보의 수집·이용 목적을 달성한 경우 등에 지체 없이 해당 개인정보를 복구·재생할 수 없도록 파기하도록 하면서 다른 법률에 따라 개인정보를 보존하여야 하는 경우에는 그러하지 아니하다고…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=859&VA=content,https://datalaw.kr/mediation/#m-859
328,2018,조정결정사례,기타 개인정보 침해,휴대전화 단말기 고유번호(IMEI) 정보를 동의 없이 제공받아 이용한 것에 대한 손해배상 등 요구,,기각,"피신청인은 신청인의 주장에 반대되는 전산시스템 조회화면, 단말기 상단의 통신사 표시 화면 등을 제시하고 있으므로 피신청인이 신청인의 개인정보를 동의 없이 제공받아 이용하였다는 신청인의 주장은 인정할 수 없음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=858&VA=content,https://datalaw.kr/mediation/#m-858
329,2018,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,취업포털사이트에 입력한 이용자의 최종 학력정보가 사실과 다르게 변경된 것에 대한 재발방지 요구,,재발방지 조치,"시스템 개편에 따라 최종 학력정보가 병합 대상에 포함된 신청인의 최종 학력정보는 신청인이 최종적으로 확인·저장하여 변경된 것으로 피신청인이 직접 변경한 것은 아니지만, 피신청인은 신청인에게 최종 학력정보가 변경된 과정을 문서로 명확히 알리고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=850&VA=content,https://datalaw.kr/mediation/#m-850
330,2018,조정결정사례,기타 개인정보 침해,보험회사가 텔레마케팅을 하면서 텔레마케팅이 아니라고 한 것에 대한 손해배상 등 요구,,재발방지 조치,"피신청인은 신청인으로부터 개인신용정보를 이용하는데 동의 받은 사실이 있으므로, 피신청인이 TM전화를 한 행위는 신용정보법 위반으로 보기 어려움. 그러나 피신청인이 영리목적의 광고성 전화를 할 경우 광고성 정보임을 알리고, 수신거부 또는 수신동의의 철회에 대한 안내를 하여야 하나 이를 하지 않은 것은 정보통신망법 위반으로 재발방지 대책을 수립하고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=849&VA=content,https://datalaw.kr/mediation/#m-849
331,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 동의 없이 단골고객 등록에 이용한 휴대전화 판매대리점과 이동통신사에 대한 손해배상 등 요구,,"손해배상, 재발방지 조치",피신청인2가 신청인의 동의 없이 피신청인1의 고객정보를 조회하여 단골고객으로 등록한 것은 위탁받은 업무의 범위를 벗어나 개인정보를 처리한 것으로 정보통신망법 위반으로 판단됨,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=848&VA=content,https://datalaw.kr/mediation/#m-848
332,2018,조정결정사례,동의 없는 개인정보 수집,가족의 복지서비스 제공을 위해 사용된 개인정보 삭제 요구,,기각,피신청인은 사회보장급여법에 따라 신청인 모친대상 사례관리를 한 것으로 신청인 포함 가구 구성에 관한 사항을 신청인 모친의 복지서비스 제공에 필수적인 정보로서 운영하고 있었음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=841&VA=content,https://datalaw.kr/mediation/#m-841
333,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,택배이용 거래정보에 포함되어 있는 개인정보 삭제 요구,,기각,인터넷 우체국에 신청한 방문택배에서 거래기록은 「전자상거래 등에서 소비자 보호에 관한 법률」에 따라 5년간 보유하여야 함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=840&VA=content,https://datalaw.kr/mediation/#m-840
334,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,민원인의 개인정보 삭제 요구,,기각,복지로에 문의한 신청인의 민원은 「사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률」에 따라 5년간 보유하여야 함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=839&VA=content,https://datalaw.kr/mediation/#m-839
335,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,수술 전후 사진의 동의 없는 이용에 대한 손해배상 등 요구,,"손해배상, 침해행위 중지, 개선 조치",신청인의 쌍꺼풀 수술 전후 사진은 신청인의 사생활을 현저히 침해할 우려가 있는 민감정보임. 피신청인이 이를 신청인 동의 없이 병원 홍보 목적으로 이용한 것은 보호법을 위반하였음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=838&VA=content,https://datalaw.kr/mediation/#m-838
336,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 목적 외 이용에 대한 손해배상 등 요구,,"손해배상, 개선 조치",광고문자 전송에 대해 신청인이 수신거부를 하였음에도 광고 문자를 재전송한 행위는 정보통신망법 위반임,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=837&VA=content,https://datalaw.kr/mediation/#m-837
337,2018,조정결정사례,기타 개인정보 침해,아날로그방송 케이블TV를 고화질(HD)방송으로 전환하면서 주민등록번호를 요구한 것에 대한 재발방지 요구,,재발방지 조치,"피신청인은 신청인이 주민등록번호를 제공하지 않았고, 케이블 방송 방식을 같은 날 전환하여 보호법령을 위반하지 않았으나, 향후 재발방지를 위해 주민등록번호를 요구한 직원에 대하여 주의조치하고, 이 사건 내용을 사례로 직원에게 공지하는 것이 필요함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=836&VA=content,https://datalaw.kr/mediation/#m-836
338,2018,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,민원인의 개인정보 삭제 요구,,기각,국민신문고에 게시한 신청인의 민원은 「공공기록물 관리에 관한 법률」에 따라 10년간 보유하여야 함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=835&VA=content,https://datalaw.kr/mediation/#m-835
339,2018,조정결정사례,동의 없는 개인정보 수집,개인정보를 동의 없이 외국에서 물품 구입자로 이용한 행위에 대한중지 요구,,삭제 조치,신청인 언니가 피신청인 매장 직원으로 근무하며 동생인 신청인의 개인정보를 이용한 것은 보호법 위반임,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=834&VA=content,https://datalaw.kr/mediation/#m-834
340,2018,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,개인신용정보 미파기에 대한 손해배상 등 요구,,삭제 조치,"신청인은 8개의 채권 소멸시효가 완성되었으므로 이를 추심한 것을 위법하다고 주장하나,. 1번부터 4번까지의 채권 소멸시효가 완성되었다는 사실은 판결이 확정된 후에 명백해진 것이므로…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=833&VA=content,https://datalaw.kr/mediation/#m-833
341,2018,조정결정사례,동의 없는 개인정보 수집,온라인 직거래사이트에 공개된 휴대전화번호를 수집하고 이를 다른 사이트 광고 문자 전송에 이용한 것에 대한 손해배상 등 요구,,"손해배상, 삭제 조치, 침해행위 중지",피신청인이 신청인의 휴대전화 번호를 수집하고 영리 목적의 광고성 정보 전송에 이용한 것은 신청인의 동의가 있었다고 객관적으로 인정되는 범위를 벗어난 행위라고 보는 것이 타당함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=832&VA=content,https://datalaw.kr/mediation/#m-832
342,2018,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,금융정보를 동의 없이 정부기관 등에 제공한 증권사에 대한 손해배상 등 요구,,기각,"「공공주택특별법」에 근거하여 국토교통부장관의 금융정보 제공 등에 관한 업무는 보건복지부장관에게 위탁되어 있어 피신청인이 보건복지부장관에게 신청인의 금융정보를 제공한 것은 적법하며, 피신청인은 ○○공사와 ○○시청에게 신청인 금융정보를 제공한 사실이 없음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=831&VA=content,https://datalaw.kr/mediation/#m-831
343,2018,조정결정사례,동의 없는 개인정보 수집,개인정보를 동의 없이 수집하여 홍보에 이용한 가구판매점에 대한 손해배상 등 요구,,"손해배상, 삭제 조치, 재발방지 조치",신청인 동의 없이 개인정보를 수집하여 홍보문자를 전송한 것은 보호법과 정보통신망법을 위반하였음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=829&VA=content,https://datalaw.kr/mediation/#m-829
344,2018,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,휴면 처리된 계정의 개인정보를 이용한 행위에 대한 손해배상 등 요구,,손해배상,피신청인은 신청인이 홈페이지에 접속하지 아니한 기간 동안 정보통신망법에 따라 신청인의 개인정보를 다른 이용자의 개인정보와 분리하여 별도로 저장·관리하고 이용하지 않았어야 함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=820&VA=content,https://datalaw.kr/mediation/#m-820
345,2018,조정결정사례,동의 없는 개인정보 수집,홈페이지에 공개된 신청인 담당교과를 수집하여 연수자 선정에 이용한 것에 대한 재발방지 요구,,기각,"신청인 담당교과는 소속 학교 홈페이지에 공개되어 있고 민감정보나 고유식별정보에 해당하지 않으며, 학교 학생 및 학부모들이 최소한으로 제공받아야 할 교원의 직업적 정보로서 공공성 있는 정보에 해당함",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=819&VA=content,https://datalaw.kr/mediation/#m-819
346,2017,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,대리모 시술을 받은 신청인의 의료정보를 동의 없이 제3자에게 제공한 것에 대한 손해배상 요구,"20,000,000원",,"주문: 1. 피신청인은 「개인정보 보호법」제38조 제1항 및 같은 법 시행령 제46조 제1항, 「의료법」제21조에 따라 환자가 아닌 사람에게 환자에 관한 기록의 열람 등을 요청하는 경우에는 그 환자가 서명한 진료기록 열람 및 사본발급 동의서와 위임장으로…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1396&VA=content,https://datalaw.kr/mediation/#m-1396
347,2017,조정결정사례,동의 없는 개인정보 수집,의료기관 명칭을 알리지 아니한 채 동의를 받아 의무기록사본을 수집한 행위에 대한 손해배상 요구,"500,000원",손해배상(50만원),"주문: 피신청인은 손해배상금으로 금500,000원을 신청인에게 지급한다.",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1395&VA=content,https://datalaw.kr/mediation/#m-1395
348,2017,조정결정사례,기타 개인정보 침해,타인의 입금계좌 안내에 자신의 휴대전화번호를 이용한 행위에 대한 손해배상 요구,,"재발방지 조치, 손해배상 기각",주문: 1. 피신청인은 조정성립일로부터 6주 이내에 이와 같은 사건이 다시 발생하지 않 도록 문자메시지 전송시스템을 개선하는 등 재발방지 대책을 수립하고 이행 한다. 2. 이 사건 손해배상 신청을 기각한다.,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1394&VA=content,https://datalaw.kr/mediation/#m-1394
349,2017,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없는 광고성 문자 전송에 대한 손해배상 및 재발방지 조치 요구,,"재발방지 조치, 손해배상 기각",주문: 1. 피신청인은 조정성립일로부터 6주 이내에 이 사건과 같은 일이 발생되지 않도록 소속 직원에게 교육을 실시하는 등 재발방지 대책을 수립하고 이 행한다. 2. 이 사건 손해배상 신청을 기각한다.,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1393&VA=content,https://datalaw.kr/mediation/#m-1393
350,2017,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,의료정보를 동의 없이 의료기관에 제공한 보험회사에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1392&VA=content,https://datalaw.kr/mediation/#m-1392
351,2017,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,고객 신용정보를 내부 감사 목적으로 이용하고 불특정 다수에게 유포한 은행에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1391&VA=content,https://datalaw.kr/mediation/#m-1391
352,2017,조정결정사례,동의 없는 개인정보 수집,고객 개인정보를 동의 없이 수집한 휴대전화 서비스센터에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1390&VA=content,https://datalaw.kr/mediation/#m-1390
353,2017,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,법원 압류결정문을 주택조합 조합장의 요청에 따라 전자우편으로 보내준 자산관리회사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1389&VA=content,https://datalaw.kr/mediation/#m-1389
354,2017,조정결정사례,동의 없는 개인정보 수집,전세자금 대출 관련 임대차 사실확인 중에 임대인 운전면허번호를 수집한 은행에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1388&VA=content,https://datalaw.kr/mediation/#m-1388
355,2017,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,청약 승낙 거절 후에도 개인정보를 파기하지 않은 보험회사에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1387&VA=content,https://datalaw.kr/mediation/#m-1387
356,2017,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,민감정보가 포함된 통화 녹취파일을 금융감독기관에 제공한 보험회사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1386&VA=content,https://datalaw.kr/mediation/#m-1386
357,2017,조정결정사례,동의 없는 개인정보 수집,개인정보를 동의 없이 수집하여 체크카드를 발급한 은행에 대한 손해배상 등 요구,,,,제22조 · 제24조의2,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1385&VA=content,https://datalaw.kr/mediation/#m-1385
358,2017,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,탈퇴 요청한 회원의 정보를 삭제하지 않고 계속 상품안내를 한 인터넷 숙박예약업체에 대한 개인정보 삭제와 재발방지 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1384&VA=content,https://datalaw.kr/mediation/#m-1384
359,2017,조정결정사례,기타 개인정보 침해,온라인 게임 계정을 동의 없이 삭제한 포털사이트에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1383&VA=content,https://datalaw.kr/mediation/#m-1383
360,2017,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,개인정보가 담긴 아파트 분양계약 서류를 도난당한 건설회사 등에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1382&VA=content,https://datalaw.kr/mediation/#m-1382
361,2017,조정결정사례,동의 없는 개인정보 수집,퇴직자의 개인정보를 동의 없이 수집·이용한 보험회사에 대한 시정 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1381&VA=content,https://datalaw.kr/mediation/#m-1381
362,2017,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,상담글이 구글 검색에 노출된 병원에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1380&VA=content,https://datalaw.kr/mediation/#m-1380
363,2017,조정결정사례,동의 없는 개인정보 수집,통역사의 개인정보를 동의 없이 수집하고 제3자에게 제공한 근로감독기관에 대한 시정요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1379&VA=content,https://datalaw.kr/mediation/#m-1379
364,2016,조정결정사례,기타 개인정보 침해,이용자의 주민등록번호를 수집·이용한 기부식품제공사업자 등에 대한 재발방지 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=759&VA=content,https://datalaw.kr/mediation/#m-759
365,2016,조정결정사례,기타 개인정보 침해,제3자의 요청에 응하여 신청인의 개인정보를 변경한 홈페이지 운영자에 대한 손해배상 등 요구,140만 원,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=758&VA=content,https://datalaw.kr/mediation/#m-758
366,2016,조정결정사례,기타 개인정보 침해,광고문자를 발송한 미팅 중개 사업자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=757&VA=content,https://datalaw.kr/mediation/#m-757
367,2016,조정결정사례,기타 개인정보 침해,개인을 알아볼 수 있는 사진을 본인의 동의 없이 기사에 게재한 언론사에 대한 재발방지 조치 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=756&VA=content,https://datalaw.kr/mediation/#m-756
368,2016,조정결정사례,기타 개인정보 침해,회원정보를 임의 변경한 기업에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=755&VA=content,https://datalaw.kr/mediation/#m-755
369,2016,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,이용자의 개인정보를 파기하지 않고 조회한 이동통신사에 대한 손해배상 요구,"15,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=754&VA=content,https://datalaw.kr/mediation/#m-754
370,2016,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,탈퇴한 회원의 휴대전화번호를 미삭제한 카셰어링 업체에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=753&VA=content,https://datalaw.kr/mediation/#m-753
371,2016,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,공제금 지급청구 후 취소하였음에도 제출한 건강정보를 보관·이용한 금융기관에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=750&VA=content,https://datalaw.kr/mediation/#m-750
372,2016,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,수강생 개인정보를 영리목적으로 이용한 직업전문학교에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=749&VA=content,https://datalaw.kr/mediation/#m-749
373,2016,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,장기 미사용 이용자의 개인정보를 다른 이용자의 개인정보와 같이 저장·관리한 업체에 대한 재발방지 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=748&VA=content,https://datalaw.kr/mediation/#m-748
374,2016,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,삭제 안내된 개인정보를 재이용한 전자제품 A/S 업체에 대한 법 위반 여부 확인 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=747&VA=content,https://datalaw.kr/mediation/#m-747
375,2016,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,개인정보를 제3자에게 노출시킨 판매업자에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=746&VA=content,https://datalaw.kr/mediation/#m-746
376,2016,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,저장매체 운반 시 보안조치를 미흡하게 한 클라우드 서비스 제공자에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=745&VA=content,https://datalaw.kr/mediation/#m-745
377,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,배우자에게 개인정보를 제공한 카지노 운영기관에 대한 카지노 출입 제한 조치 해제 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=744&VA=content,https://datalaw.kr/mediation/#m-744
378,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 수사기관에 제공한 공공기관에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=743&VA=content,https://datalaw.kr/mediation/#m-743
379,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,부동산 매각허가결정서 교부를 통해 개인정보를 제3자에게 제공한 법원에 대한 재발방지 대책 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=742&VA=content,https://datalaw.kr/mediation/#m-742
380,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,타 보험회사에 개인정보를 제공한 보험회사에 대한 법 위반사항 확인 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=741&VA=content,https://datalaw.kr/mediation/#m-741
381,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,관리비 납입내역서를 제3자 제공·이용한 아파트 관리소장 등에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=740&VA=content,https://datalaw.kr/mediation/#m-740
382,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보주체의 개인정보를 배우자에게 제공한 보험회사에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=739&VA=content,https://datalaw.kr/mediation/#m-739
383,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,퇴사한 직원의 개인정보를 조회한 이동통신사 대리점에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=738&VA=content,https://datalaw.kr/mediation/#m-738
